commit,duration,Original,AllRandom,AllInOrder,GreedyCoverAll,AffectedRandom,HGSAffected,GreedyCoverAffected,HGSAll,Alpha,Rocket,GreedyTimeAll,Original_ms,AllRandom_ms,AllInOrder_ms,GreedyCoverAll_ms,AffectedRandom_ms,HGSAffected_ms,GreedyCoverAffected_ms,HGSAll_ms,Alpha_ms,Rocket_ms,GreedyTimeAll_ms
e497017ef53d8be3a5b7f32bdc1447ec46f849c6,337723,16,2,7,27,25,10,293,0,29,442,442,66011,432,2064,15558,5778,1834,90236,0,16409,115915,115915
7aeccc7f747edb2e2d488656dc7b0fb27c770c9a,264452,52,140,455,19,46,13,31,1,0,177,181,88882,60947,257570,6487,16904,49973,5911,2748,0,14535,15143
4fb67ddb3902f0b138ef9562e000a1db30bbc72d,360058,460,10,107,75,164,6,383,487,0,0,0,262427,2607,189879,43025,97563,8567,170167,360010,0,0,0
1b7be0946043a67429083fbb05983257c9e0ba1b,347482,491,477,261,53,137,3,220,235,0,261,268,347482,346129,267856,75934,108102,789,79368,235792,0,38760,40561
09316b59188f76e98dca0ee77e79454c970158e4,378410,16,5,23,2,10,6,295,6,5,61,61,71678,1935,74216,2086,2854,1591,108264,14832,3439,2781,2781
54ed4f763e202886d67ec0f345b6367e2a2a0af6,353092,0,1,91,32,26,0,320,59,3,404,404,0,1291,176427,28181,15902,0,119045,116152,1280,91317,91317
951b19f8468ec5af0436dd0bf4ac56145761ddb6,340000,5,1,23,77,10,2,295,6,0,60,60,44435,266,67971,49572,2491,82,97627,14095,0,2380,2380
7d271f1aa48d625d9cb626443f009f55c5482476,386146,182,21,107,269,214,182,383,487,0,0,2,174158,17987,203410,151086,264012,253452,182722,386090,0,0,2
9a95053aa3e6d4ded99852e3b1305427d28a74ff,330723,48,4,23,70,10,6,296,6,0,61,64,109960,1065,66732,39356,1872,2358,92850,13243,0,2276,2520
b2135a3e143085e0470d3da6c3bee5cb4f55c502,365738,55,0,92,34,61,0,388,0,37,418,418,121523,0,170724,14379,51388,0,171701,0,15813,98550,98550
b97a5899aa2a6d64b2ad563500da4aa483f42faf,376133,132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,156212,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2a23be6f9cb9a1aaa9203608d69c8138ca404501,342192,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,146551,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
acecbf7f8506ac31548de47ee06cb519309192ff,394385,46,16,23,36,10,40,295,6,0,60,62,128381,4208,76965,82086,2983,19499,112537,16239,0,2855,3041
f3df26a4ec268123a3f0210cb0cd60640fd77b92,585083,14,129,141,17,234,511,375,480,20,438,438,100979,170249,421198,12009,185419,581389,161219,578306,13223,139187,139187
fa465a6f089aaca11984c391938e4ea865f7a945,385109,16,8,23,0,10,22,302,6,0,60,61,70819,5997,74490,0,2291,18323,113872,15872,0,2834,2919
879e36d75a314ac47582cf277023f15e9a979e8a,584037,126,9,153,264,18,3,365,107,3,406,406,254609,13643,429270,145936,24351,17206,150732,375470,1274,89736,89736
208c4ad98534af20a96c2ccbc509096c5260a5ef,323914,16,7,23,104,10,10,295,6,0,61,62,63117,1191,68301,49941,2348,2589,87466,13725,0,2384,2461
186e00f9b4cd05c8a15a24225ec445563d26c0b2,662356,373,356,71,36,49,0,446,9,38,436,436,365441,431955,405169,81966,59440,0,263783,142214,83682,154352,154352
698f582360ad2e67b726e2d5224419aaa31731e0,365738,287,5,92,0,39,0,387,0,3,418,418,192598,5896,170724,0,20574,0,171344,0,1434,98550,98550
ee3d047ca0917694c2272164622d11a627d31a67,383688,0,0,23,9,10,21,296,6,0,60,60,0,0,73055,5349,2226,6058,112896,15045,0,2838,2838
737e830b5c5ec976763fb37e25d09f49de72a33e,319145,218,344,63,451,302,262,418,305,438,145,145,154121,236328,122967,241640,205343,148395,196010,236260,235757,12893,12893
3f513b91220f85443ca4c34fda9fc3cbf233d8d4,388734,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120289,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4cb7762f338d8260a9def8077612a7fa04f0f262,232974,11,6,1,7,9,10,291,2,0,224,227,41915,1464,149,2324,1953,2112,101703,493,0,32059,32835
