commit,duration,Original,AllRandom,AllInOrder,GreedyCoverAll,AffectedRandom,HGSAffected,GreedyCoverAffected,HGSAll,Alpha,Rocket,GreedyTimeAll,Original_ms,AllRandom_ms,AllInOrder_ms,GreedyCoverAll_ms,AffectedRandom_ms,HGSAffected_ms,GreedyCoverAffected_ms,HGSAll_ms,Alpha_ms,Rocket_ms,GreedyTimeAll_ms
d6902bdd64475a7586635a52bb7f528db2c234d6,379932,563,130,153,83,22,25,364,107,3,405,405,379932,40294,104715,71054,6445,8159,115832,52278,933,117245,117245
879e36d75a314ac47582cf277023f15e9a979e8a,379932,126,157,153,31,7,3,365,107,3,406,406,142395,56066,104715,13590,2456,933,116143,52278,933,117838,117838
9c2a2f65d905b15100f002a9bee18f1f1fae6805,379932,86,18,153,15,0,0,364,107,0,411,412,126115,7868,104715,4219,0,0,115832,52278,0,120931,121698
fda22cae80437e3a0a97e52ed55037afab26aa54,379932,411,152,153,272,22,28,364,107,3,408,408,239110,51572,104715,134083,6445,10834,115832,52278,933,118836,118836
f3df26a4ec268123a3f0210cb0cd60640fd77b92,379932,14,129,141,17,234,511,375,480,20,438,438,54649,38243,99562,4783,87329,216710,118703,207826,5716,137479,137479
47ccb222f7518f22d767b786aaf130a57dae09c6,379932,380,473,71,32,328,315,445,113,0,266,270,227406,205148,66148,15006,162641,158532,154418,55405,0,66239,67387
186e00f9b4cd05c8a15a24225ec445563d26c0b2,379932,373,382,71,476,166,0,444,9,401,436,436,224905,178905,66148,163995,61200,0,154157,5367,146311,139275,139275
fb188c2d1a4c4069f49945440abb0d5a741e36b8,379932,457,456,65,41,314,402,438,9,44,433,433,258120,197735,64222,14111,158263,179699,152291,5367,15044,142387,142387
03fbf78c67c7b547b0efcfb9aa6b3e8df6be15b7,379932,83,23,1,32,9,1,291,2,3,443,443,124840,5511,137,11309,2181,311,82628,584,933,130465,130465
42a332af88b4b969a1bbf93fab30b760791971a2,379932,40,37,16,0,25,37,367,15,3,452,452,89958,15909,48983,0,7341,10272,117008,10130,933,140103,140103
715a40875be836aff668a56a4086c32548ec0186,379932,16,39,16,84,25,27,367,15,86,452,452,57627,14130,48983,32095,7341,9272,117008,10130,32717,140103,140103
83e21e4ca735aa6b1379b6bcc4a1b2f03de0ceeb,379932,347,29,327,52,14,0,31,1,38,130,130,215756,10251,155574,17997,4756,0,10476,311,14928,27244,27244
21c3df86aa89ccfd058168112a02ed707f8b4a8f,379932,241,17,327,63,10,0,32,1,39,130,130,182023,4423,155574,21587,3288,0,10787,311,16509,27244,27244
7aeccc7f747edb2e2d488656dc7b0fb27c770c9a,379932,52,140,455,19,46,13,31,1,0,177,181,104611,47346,191466,5711,13926,48597,10476,311,0,40463,41573
0b817c7ca6f3806acd7b3d232d4ec69fa2a9815f,379932,65,58,455,6,95,37,31,1,0,178,179,116803,15809,191466,2017,76819,10943,10476,311,0,40708,41019
ceba349f2f883d2627fc7807b8388a60261ff1f8,379932,10,1,1,10,9,0,291,2,0,381,381,48427,311,137,5171,2181,0,82628,584,0,107322,107322
698f582360ad2e67b726e2d5224419aaa31731e0,379932,287,24,92,28,13,0,388,0,31,418,418,196348,7348,72619,8029,3582,0,126694,0,8962,121416,121416
b2135a3e143085e0470d3da6c3bee5cb4f55c502,379932,55,9,92,33,10,0,387,0,36,418,418,108162,2754,72619,11553,47342,0,126573,0,12486,121416,121416
17589e5a4a847550bea6cb954a8de5427083b27b,379932,0,9,92,8,25,0,387,0,11,418,418,0,2667,72619,4512,7177,0,126573,0,5445,121416,121416
61aeba7c1cb8ca7c8a92168dde3e36b78b68da6c,379932,7,242,45,467,428,19,446,274,30,433,433,43208,78596,58002,196277,185995,10265,145375,97210,17523,132412,132412
4cb7762f338d8260a9def8077612a7fa04f0f262,379932,11,6,1,7,9,10,291,2,0,224,227,50011,1866,137,1835,2181,2550,82628,584,0,54298,55204
3d261ed2fa4cf395e5caa985843213361f525cfa,379932,14,8,1,14,9,7,291,2,0,380,380,54649,1971,137,4815,2181,1954,82628,584,0,106879,106879
02d48cf77ea6619f5a541365dcf66a43d2eee831,379932,501,94,107,439,164,29,383,487,0,0,1,300272,30685,80657,190604,63016,7711,126062,206683,0,0,1
7d271f1aa48d625d9cb626443f009f55c5482476,379932,182,24,107,6,202,217,383,486,0,0,2,162787,7635,80657,1846,119997,124229,126062,206667,0,0,2
8451ebe73847c5efbf6c430584609936595a7fac,379932,241,91,107,281,202,265,384,486,0,0,1,182023,32762,80657,88755,119859,136836,126373,206667,0,0,1
4fb67ddb3902f0b138ef9562e000a1db30bbc72d,379932,460,10,107,75,164,6,383,487,0,0,0,259455,2886,80657,28543,63016,3649,126062,206683,0,0,0
3293e6446ccf429d49785ae635c76e7d35ab642e,379932,359,41,107,89,164,1,383,487,0,0,2,219944,14542,80657,36720,63016,149,126062,206683,0,0,2
d478900ec1bf0ebfbcf177671829934d2f0ac517,379932,114,25,107,450,109,103,383,486,0,0,2,137633,8876,80657,150043,35105,35854,126062,206667,0,0,2
b97a5899aa2a6d64b2ad563500da4aa483f42faf,379932,132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,144699,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3f513b91220f85443ca4c34fda9fc3cbf233d8d4,379932,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
84d5fc36273fdd15595476f8eb6ae51816f621d8,379932,235,88,204,0,241,257,280,430,3,27,27,180143,31450,118010,0,86340,124957,81705,185210,933,3495,3495
2a23be6f9cb9a1aaa9203608d69c8138ca404501,379932,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,149590,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c89ef6dea23738498b49670d04877230e7596d45,379932,482,347,63,286,310,244,421,322,287,134,134,276514,156660,63600,95064,150916,119977,135866,113777,93690,28214,28214
737e830b5c5ec976763fb37e25d09f49de72a33e,379932,218,344,63,451,302,262,418,305,438,145,145,174739,157919,63600,146097,149158,84329,136214,110272,142914,31148,31148
4475da4ab61c043f42ebd94fda9b59e896783009,379932,236,339,261,360,85,417,220,236,0,197,198,180458,154725,136308,111444,27499,179055,63506,89748,0,46691,47002
