commit,duration,Original,AllRandom,AllInOrder,GreedyCoverAll,AffectedRandom,HGSAffected,GreedyCoverAffected,HGSAll,Alpha,Rocket,GreedyTimeAll,Original_ms,AllRandom_ms,AllInOrder_ms,GreedyCoverAll_ms,AffectedRandom_ms,HGSAffected_ms,GreedyCoverAffected_ms,HGSAll_ms,Alpha_ms,Rocket_ms,GreedyTimeAll_ms
34fc2449c5af8b8b4af911989739ab2001e86ba3,478602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d2a1628feb263672e0471f27938162aa4d965216,473760,368,-1,-1,-1,-1,-1,-1,-1,-1,100,100,322178,-1,-1,-1,-1,-1,-1,-1,-1,4157,4132
0300826e5770a9ccbf8dfe5785b1d261faf5eaa2,439058,367,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,277551,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8284356d1cd77979c1cee08e3ca1e806744a49a8,427605,139,-1,-1,-1,-1,-1,-1,-1,-1,244,244,122770,-1,-1,-1,-1,-1,-1,-1,-1,34218,34137
d2c4f440896f7a540aef83389d2c5242d09414d1,401218,213,11,25,6,17,5,37,22,6,23,23,197172,29112,91598,7335,25268,1799,70980,47357,6770,43,43
dc712e270c504f54e300793bd26a885c1890b242,402980,139,-1,-1,-1,-1,-1,-1,-1,-1,264,264,115578,-1,-1,-1,-1,-1,-1,-1,-1,35079,35096
7a2130822c5d4ee41d8016bf870cf55a5da3f485,462242,369,-1,-1,-1,-1,-1,-1,-1,-1,389,389,385548,-1,-1,-1,-1,-1,-1,-1,-1,256282,257015
3fef20c72da290370212ecc07cee182068c54714,467783,369,-1,-1,-1,-1,-1,-1,-1,-1,388,388,374608,-1,-1,-1,-1,-1,-1,-1,-1,249446,247914
b78255482f4d7441a860af41141c6f2f94b481cb,481910,278,64,37,23,42,34,28,7,23,53,53,267488,184805,110366,54006,146281,113675,74141,2818,53280,1621,1603
cf4d613940467f64c98ccdd3e3bcedfdb5a12311,450442,250,17,29,12,10,25,42,22,12,88,88,225597,35710,86659,32708,6483,102855,75637,27242,32759,4088,4107
6569f3e2621b8232055ee7d0d0f9c8e4d76da938,505996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3e83ddad97dd46e2ad4c3ee5fc6ac1d88ae84b4a,457013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903d97511cd16ffe908cc188a0b056780191a7c8,512011,382,-1,-1,-1,-1,-1,-1,-1,-1,405,405,438190,-1,-1,-1,-1,-1,-1,-1,-1,272218,273845
1885407613ecda03b6d6dd2ff0ab5054033af4a8,462366,245,1,37,1,27,64,29,43,1,61,61,227276,83,111137,1458,109315,184578,71969,157003,1307,1898,1904
c188de7f931fdaefe2e1b5e9509825d406c5fc9c,364096,370,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,331940,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
612e216753e5fccd9e49c4b7238b1c29caa90454,371577,270,-1,-1,-1,-1,-1,-1,-1,-1,106,106,238908,-1,-1,-1,-1,-1,-1,-1,-1,7451,7439
2fad1e6f9bce00cddebf6d6e39440132582ec381,407898,369,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3777c63cce1aba86d96be7a6517794751f049363,376750,298,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,251954,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10c6e8b32daa83fb9920b5dfb8302e2a86274a54,392646,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,118346,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c4dac73f8d65196bf81a3665c76347f7de502000,369830,124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,131817,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4576c1485ed03e710c933a1ce48f412180b0964a,393925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75d39792de4f849edfe5913dfc09d748d77476d9,368064,20,15,8,44,45,4,43,33,44,93,93,79300,11377,80250,62383,136266,4557,64083,50515,64288,7791,7815
ff1ad037b9629dcd2f5a824e54b22f468f6c3118,434580,165,46,13,44,5,19,39,37,44,124,124,283433,49860,130932,197463,2213,11761,65663,25242,193618,16765,16646
22a02dfb3071657093b568a60e22016cd41f529a,392443,0,0,0,0,3,0,30,3,0,23,23,0,0,0,0,1931,0,46504,772,0,239,237
a7a88c80cae13c22f3ecbc9cce5bafe50ab7b944,414746,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a109e3b51eb9c3f21ba05640ca035c82d4419a94,428694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14248e87ad5678f29c2b969798f20b299438fce3,365765,13,-1,-1,-1,-1,-1,-1,-1,-1,90,90,96057,-1,-1,-1,-1,-1,-1,-1,-1,6677,6587
85563135ab590e43da72cd5ad5abc1b2b93f6090,385082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fdcab03aa956ffca5614382e84f1808efeb77e90,435018,207,10,30,38,38,49,22,11,38,83,83,261436,29775,139345,86795,174491,211702,71118,8020,87434,6347,6278
5c0d776dda3c18044b1cb6f5f2113d9180c03e9a,384019,0,9,0,0,0,0,31,13,0,28,28,0,25179,0,0,0,0,69771,28765,0,261,261
2122d95022eafe17637377dbb8a1271fa001bc66,327514,287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,225432,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
794a5b685b18b35fc464e67c271823efd4438042,321626,165,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,151017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0a49f2a4b399dc3e62fe22d69eabba5adcb5ca6f,205605,105,11,12,3,13,12,1,12,3,28,28,66930,2051,12386,620,3175,2493,228,3840,647,468,480
2f4289833b0d64c48c7f81e7e58bf9107fa4caca,237320,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4291,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fb700285c5f4d18acf1793abc3f3423d868b0c5d,172201,171,8,36,9,4,6,2,34,9,13,13,144441,2780,24737,6607,251,4482,4229,24232,6975,0,0
c0f8d8b73d67f2db307f0113e9427f2ed8d5afd5,135346,105,23,12,15,2,3,2,11,15,3,3,62742,21537,15392,3692,303,1220,1128,6683,3561,0,0
2bb7b626d3cad6cedb72704a1d0bfeee7611f1b4,141963,115,12,12,6,2,7,1,8,6,4,4,86882,6975,14949,6257,317,5555,407,4698,6059,0,0
d926a30faf2c011cd2b666e6c160d5474c35b238,141781,105,15,12,0,2,11,1,8,0,4,4,67223,11293,14854,0,317,9479,409,4567,0,0,0
316e94aa23538463565d542b36327d2ef2d07679,118165,45,16,12,1,1,9,1,0,1,2,2,10056,15808,14257,2826,2835,1318,252,0,2586,0,0
8e061bbd7b17339e624b34afa05ca94d4464699d,235058,220,16,37,20,28,16,1,0,20,151,151,226741,10055,28155,14534,17024,12760,162,0,14543,29306,29688
d89fd147cf03b9486ccda0b3acbd564ea1c4b291,223430,0,0,0,0,0,1,0,0,0,24,24,0,0,0,0,0,0,0,0,0,297,296
43abb25cbff24e12cddad5e775b5213efcff7cd2,179175,114,-1,-1,-1,-1,-1,-1,-1,-1,203,203,66217,-1,-1,-1,-1,-1,-1,-1,-1,64782,65405
2953a15c46557d798274435900cf399c9b5f43c9,209766,0,0,0,1,1,0,0,0,1,22,22,0,0,0,0,0,0,0,0,0,173,171
4c78fdf0e7c390362ad24032b63110997de263fe,215582,45,30,2,14,26,4,36,17,14,216,216,9560,25432,862,3394,24228,1613,29266,20219,3405,100011,99765
8ee872018ad973747a9305a0b003fe3cafb40c30,314620,2,1,1,1,0,12,31,3,1,45,45,100732,198,100695,67,0,122115,25844,1708,62,2119,2099
413c738e48cc5ad06417266111e58ef32b06933e,197276,2,0,1,15,2,3,31,3,15,36,36,76423,0,75876,17664,3357,11810,21153,81,17622,863,860
ee26113aeaaab7ee2274a464d8c3cc33042a8369,272512,0,4,0,0,2,4,31,2,0,27,27,0,645,0,0,228,13831,25373,752,0,383,384
6dd12cc27a23764f77c0712841486a451133fde3,353291,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,0,0,0,254,257
03dd9c4c96a239fee6225a18a8d96ea51fc06bb5,297371,72,2,7,37,26,2,35,20,37,173,173,182994,66,81239,20690,25256,495,15199,8930,21072,65375,65727
1dfc5ea212e8c5050b730275ef2e5f0af654327c,194729,0,5,0,10,5,16,32,7,10,37,37,0,762,0,9906,6437,12588,21474,5141,9797,385,378
f5cb85e8035a59b18092196df86fc93d3d6f94bf,197025,0,0,0,0,0,1,0,0,0,35,35,0,0,0,0,0,0,0,0,0,432,429
d73fa61092e74fdf1fb3f9b83bea1c62292f8d81,188329,0,5,0,11,0,2,11,10,11,24,24,0,1206,0,5033,0,128,4273,5549,5443,192,190
9cc0662d96eae2150421b05ea63aca891ead38d9,167065,0,3,0,3,10,2,11,10,3,27,27,0,739,0,363,4639,0,4975,3172,376,219,212
02b373e8c199a512e5ff8c34df373e1de9ae3e10,182945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
